NASA_sch	WRDC_sch	NASA_trns	WRDC_trns
124.0	124.0	3.6	3.6
124.0	124.0	3.6	3.6
123.0	123.0	3.6	3.6
123.0	123.0	3.6	3.6
122.0	122.0	3.6	3.6
122.0	122.0	3.6	3.6
121.0	121.0	3.6	3.6
121.0	121.0	3.6	3.6
120.0	120.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
230.412342095	168.075165161	3.6	3.6
249.987045193	179.795180525	3.6	3.6
229.412342095	167.075165161	3.6	3.6
248.987045193	178.795180525	3.6	3.6
228.412342095	166.075165161	3.6	3.6
247.987045193	177.795180525	3.6	3.6
227.412342095	165.075165161	3.6	3.6
246.987045193	176.795180525	3.6	3.6
226.412342095	164.075165161	3.6	3.6
245.987045193	175.795180525	3.6	3.6
225.412342095	163.075165161	3.6	3.6
244.987045193	174.795180525	3.6	3.6
224.412342095	162.075165161	3.6	3.6
243.987045193	173.795180525	3.6	3.6
223.412342095	161.075165161	3.6	3.6
242.987045193	172.795180525	3.6	3.6
222.412342095	160.075165161	3.6	3.6
241.987045193	171.795180525	3.6	3.6
221.412342095	159.075165161	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
336.261124593	226.491439131	3.6	3.6
356.728451857	254.801356079	3.6	3.6
335.261124593	225.491439131	3.6	3.6
355.728451857	253.801356079	3.6	3.6
334.261124593	224.491439131	3.6	3.6
354.728451857	252.801356079	3.6	3.6
333.261124593	223.491439131	3.6	3.6
353.728451857	251.801356079	3.6	3.6
332.261124593	222.491439131	3.6	3.6
352.728451857	250.801356079	3.6	3.6
331.261124593	221.491439131	3.6	3.6
351.728451857	249.801356079	3.6	3.6
330.261124593	220.491439131	3.6	3.6
350.728451857	248.801356079	3.6	3.6
329.261124593	219.491439131	3.6	3.6
349.728451857	247.801356079	3.6	3.6
328.261124593	218.491439131	3.6	3.6
348.728451857	246.801356079	3.6	3.6
327.261124593	217.491439131	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
456.375512541	283.309412833	3.6	3.6
486.128764302	339.161162425	3.6	3.6
455.375512541	282.309412833	3.6	3.6
485.128764302	338.161162425	3.6	3.6
454.375512541	281.309412833	3.6	3.6
484.128764302	337.161162425	3.6	3.6
453.375512541	280.309412833	3.6	3.6
483.128764302	336.161162425	3.6	3.6
452.375512541	279.309412833	3.6	3.6
482.128764302	335.161162425	3.6	3.6
451.375512541	278.309412833	3.6	3.6
481.128764302	334.161162425	3.6	3.6
450.375512541	277.309412833	3.6	3.6
480.128764302	333.161162425	3.6	3.6
449.375512541	276.309412833	3.6	3.6
479.128764302	332.161162425	3.6	3.6
448.375512541	275.309412833	3.6	3.6
478.128764302	331.161162425	3.6	3.6
447.375512541	274.309412833	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
549.819847449	325.504401896	3.6	3.6
568.519589665	394.268405797	3.6	3.6
548.819847449	324.504401896	3.6	3.6
567.519589665	393.268405797	3.6	3.6
547.819847449	323.504401896	3.6	3.6
566.519589665	392.268405797	3.6	3.6
546.819847449	322.504401896	3.6	3.6
565.519589665	391.268405797	3.6	3.6
545.819847449	321.504401896	3.6	3.6
564.519589665	390.268405797	3.6	3.6
544.819847449	320.504401896	3.6	3.6
563.519589665	389.268405797	3.6	3.6
543.819847449	319.504401896	3.6	3.6
562.519589665	388.268405797	3.6	3.6
542.819847449	318.504401896	3.6	3.6
561.519589665	387.268405797	3.6	3.6
541.819847449	317.504401896	3.6	3.6
560.519589665	386.268405797	3.6	3.6
540.819847449	316.504401896	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
661.369431076	376.526562534	3.6	3.6
683.921064912	459.632424532	3.6	3.6
660.369431076	375.526562534	3.6	3.6
682.921064912	458.632424532	3.6	3.6
659.369431076	374.526562534	3.6	3.6
681.921064912	457.632424532	3.6	3.6
658.369431076	373.526562534	3.6	3.6
680.921064912	456.632424532	3.6	3.6
657.369431076	372.526562534	3.6	3.6
679.921064912	455.632424532	3.6	3.6
656.369431076	371.526562534	3.6	3.6
678.921064912	454.632424532	3.6	3.6
655.369431076	370.526562534	3.6	3.6
677.921064912	453.632424532	3.6	3.6
654.369431076	369.526562534	3.6	3.6
676.921064912	452.632424532	3.6	3.6
653.369431076	368.526562534	3.6	3.6
675.921064912	451.632424532	3.6	3.6
652.369431076	367.526562534	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
800.991715354	427.600032275	3.6	3.6
828.51733591	525.962998094	3.6	3.6
799.991715354	426.600032275	3.6	3.6
827.51733591	524.962998094	3.6	3.6
798.991715354	425.600032275	3.6	3.6
826.51733591	523.962998094	3.6	3.6
797.991715354	424.600032275	3.6	3.6
825.51733591	522.962998094	3.6	3.6
796.991715354	423.600032275	3.6	3.6
824.51733591	521.962998094	3.6	3.6
795.991715354	422.600032275	3.6	3.6
823.51733591	520.962998094	3.6	3.6
794.991715354	421.600032275	3.6	3.6
822.51733591	519.962998094	3.6	3.6
793.991715354	420.600032275	3.6	3.6
821.51733591	518.962998094	3.6	3.6
792.991715354	419.600032275	3.6	3.6
820.51733591	517.962998094	3.6	3.6
791.991715354	418.600032275	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
903.282452728	469.985750798	3.6	3.6
923.378047655	581.471994762	3.6	3.6
902.282452728	468.985750798	3.6	3.6
922.378047655	580.471994762	3.6	3.6
901.282452728	467.985750798	3.6	3.6
921.378047655	579.471994762	3.6	3.6
900.282452728	466.985750798	3.6	3.6
920.378047655	578.471994762	3.6	3.6
899.282452728	465.985750798	3.6	3.6
919.378047655	577.471994762	3.6	3.6
898.282452728	464.985750798	3.6	3.6
918.378047655	576.471994762	3.6	3.6
897.282452728	463.985750798	3.6	3.6
917.378047655	575.471994762	3.6	3.6
896.282452728	462.985750798	3.6	3.6
916.378047655	574.471994762	3.6	3.6
895.282452728	461.985750798	3.6	3.6
915.378047655	573.471994762	3.6	3.6
894.282452728	460.985750798	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1002.42557848	490.790228772	3.6	3.6
1022.01617381	610.161145222	3.6	3.6
1001.42557848	489.790228772	3.6	3.6
1021.01617381	609.161145222	3.6	3.6
1000.42557848	488.790228772	3.6	3.6
1020.01617381	608.161145222	3.6	3.6
999.425578477	487.790228772	3.6	3.6
1019.01617381	607.161145222	3.6	3.6
998.425578477	486.790228772	3.6	3.6
1018.01617381	606.161145222	3.6	3.6
997.425578477	485.790228772	3.6	3.6
1017.01617381	605.161145222	3.6	3.6
996.425578477	484.790228772	3.6	3.6
1016.01617381	604.161145222	3.6	3.6
995.425578477	483.790228772	3.6	3.6
1015.01617381	603.161145222	3.6	3.6
994.425578477	482.790228772	3.6	3.6
1014.01617381	602.161145222	3.6	3.6
993.425578477	481.790228772	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1099.94381121	499.684128691	3.6	3.6
1119.3676683	624.102072698	3.6	3.6
1098.94381121	498.684128691	3.6	3.6
1118.3676683	623.102072698	3.6	3.6
1097.94381121	497.684128691	3.6	3.6
1117.3676683	622.102072698	3.6	3.6
1096.94381121	496.684128691	3.6	3.6
1116.3676683	621.102072698	3.6	3.6
1095.94381121	495.684128691	3.6	3.6
1115.3676683	620.102072698	3.6	3.6
1094.94381121	494.684128691	3.6	3.6
1114.3676683	619.102072698	3.6	3.6
1093.94381121	493.684128691	3.6	3.6
1113.3676683	618.102072698	3.6	3.6
1092.94381121	492.684128691	3.6	3.6
1112.3676683	617.102072698	3.6	3.6
1091.94381121	491.684128691	3.6	3.6
1111.3676683	616.102072698	3.6	3.6
1090.94381121	490.684128691	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1207.44201205	516.266548085	3.6	3.6
1233.89430588	647.733690966	3.6	3.6
1206.44201205	515.266548085	3.6	3.6
1232.89430588	646.733690966	3.6	3.6
1205.44201205	514.266548085	3.6	3.6
1231.89430588	645.733690966	3.6	3.6
1204.44201205	513.266548085	3.6	3.6
1230.89430588	644.733690966	3.6	3.6
1203.44201205	512.266548085	3.6	3.6
1229.89430588	643.733690966	3.6	3.6
1202.44201205	511.266548085	3.6	3.6
1228.89430588	642.733690966	3.6	3.6
1201.44201205	510.266548085	3.6	3.6
1227.89430588	641.733690966	3.6	3.6
1200.44201205	509.266548085	3.6	1.67596654366
1226.89430588	640.733690966	3.6	0.559048734235
1199.44201205	508.266548085	3.6	0.186166908316
1225.89430588	639.733690966	3.6	0.0618159037285
1198.44201205	507.266548085	3.6	0.0202933274051
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1318.10198967	540.165500189	3.6	3.6
1344.61583851	680.628381258	3.6	3.6
1317.10198967	539.165500189	3.6	3.6
1343.61583851	679.628381258	3.6	3.6
1316.10198967	538.165500189	3.6	3.6
1342.61583851	678.628381258	3.6	3.6
1315.10198967	537.165500189	3.6	3.6
1341.61583851	677.628381258	3.6	3.6
1314.10198967	536.165500189	3.6	3.6
1340.61583851	676.628381258	3.6	3.6
1313.10198967	535.165500189	3.6	3.6
1339.61583851	675.628381258	3.6	3.6
1312.10198967	534.165500189	3.6	3.6
1338.61583851	674.628381258	3.6	3.6
1311.10198967	533.165500189	3.6	3.6
1337.61583851	673.628381258	3.6	3.6
1310.10198967	532.165500189	3.6	3.6
1336.61583851	672.628381258	3.6	3.6
1309.10198967	531.165500189	3.6	3.28558978079
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1434.72482015	608.952022207	3.6	3.6
1457.96952024	773.718604935	3.6	3.6
1433.72482015	607.952022207	3.6	3.6
1456.96952024	772.718604935	3.6	3.6
1432.72482015	606.952022207	3.6	3.6
1455.96952024	771.718604935	3.6	3.6
1431.72482015	605.952022207	3.6	3.6
1454.96952024	770.718604935	3.6	3.6
1430.72482015	604.952022207	3.6	3.6
1453.96952024	769.718604935	3.6	3.6
1429.72482015	603.952022207	3.6	3.6
1452.96952024	768.718604935	3.6	3.6
1428.72482015	602.952022207	3.6	3.6
1451.96952024	767.718604935	3.6	3.6
1427.72482015	601.952022207	3.6	3.6
1450.96952024	766.718604935	3.6	3.6
1426.72482015	600.952022207	3.6	3.6
1449.96952024	765.718604935	3.6	3.6
1425.72482015	599.952022207	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1579.13926206	668.341698087	3.6	3.6
1607.74802197	851.558789672	3.6	3.6
1578.13926206	667.341698087	3.6	3.6
1606.74802197	850.558789672	3.6	3.6
1577.13926206	666.341698087	3.6	3.6
1605.74802197	849.558789672	3.6	3.6
1576.13926206	665.341698087	3.6	3.6
1604.74802197	848.558789672	3.6	3.6
1575.13926206	664.341698087	3.6	3.6
1603.74802197	847.558789672	3.6	3.6
1574.13926206	663.341698087	3.6	3.6
1602.74802197	846.558789672	3.6	3.6
1573.13926206	662.341698087	3.6	3.6
1601.74802197	845.558789672	3.6	3.6
1572.13926206	661.341698087	3.6	3.6
1600.74802197	844.558789672	3.6	3.6
1571.13926206	660.341698087	3.6	3.6
1599.74802197	843.558789672	3.6	3.6
1570.13926206	659.341698087	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1741.71198118	744.154764765	3.6	3.6
1775.85686208	948.911829664	3.6	3.6
1740.71198118	743.154764765	3.6	3.6
1774.85686208	947.911829664	3.6	3.6
1739.71198118	742.154764765	3.6	3.6
1773.85686208	946.911829664	3.6	3.6
1738.71198118	741.154764765	3.6	3.6
1772.85686208	945.911829664	3.6	3.6
1737.71198118	740.154764765	3.6	3.6
1771.85686208	944.911829664	3.6	3.6
1736.71198118	739.154764765	3.6	3.6
1770.85686208	943.911829664	3.6	3.6
1735.71198118	738.154764765	3.6	3.6
1769.85686208	942.911829664	3.6	3.6
1734.71198118	737.154764765	3.6	3.6
1768.85686208	941.911829664	3.6	3.6
1733.71198118	736.154764765	3.6	3.6
1767.85686208	940.911829664	3.6	3.6
1732.71198118	735.154764765	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1811.91510423	777.426149734	3.6	3.6
1826.57726575	993.964318986	3.6	3.6
1810.91510423	776.426149734	3.6	3.6
1825.57726575	992.964318986	3.6	3.6
1809.91510423	775.426149734	3.6	3.6
1824.57726575	991.964318986	3.6	3.6
1808.91510423	774.426149734	3.6	3.6
1823.57726575	990.964318986	3.6	3.6
1807.91510423	773.426149734	3.6	3.6
1822.57726575	989.964318986	3.6	3.6
1806.91510423	772.426149734	3.6	3.6
1821.57726575	988.964318986	3.6	3.6
1805.91510423	771.426149734	3.6	3.6
1820.57726575	987.964318986	3.6	3.6
1804.91510423	770.426149734	3.6	3.6
1819.57726575	986.964318986	3.6	3.6
1803.91510423	769.426149734	3.6	3.6
1818.57726575	985.964318986	3.6	3.6
1802.91510423	768.426149734	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1923.44317482	809.549573214	3.6	3.6
1955.23621931	1037.77765685	3.6	3.6
1922.44317482	808.549573214	3.6	3.6
1954.23621931	1036.77765685	3.6	3.6
1921.44317482	807.549573214	3.6	3.6
1953.23621931	1035.77765685	3.6	3.6
1920.44317482	806.549573214	3.6	3.6
1952.23621931	1034.77765685	3.6	3.6
1919.44317482	805.549573214	3.6	3.6
1951.23621931	1033.77765685	3.6	3.6
1918.44317482	804.549573214	3.6	3.6
1950.23621931	1032.77765685	3.6	3.6
1917.44317482	803.549573214	3.6	3.6
1949.23621931	1031.77765685	3.6	3.6
1916.44317482	802.549573214	3.6	3.6
1948.23621931	1030.77765685	3.6	3.6
