N_d	W_d	N_sch	W_sch	N_trns	W_trns
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	1.0	1.0	3.6	3.6
0.0	0.0	1.0	1.0	3.6	3.6
0.0	0.0	1.0	1.0	3.6	3.6
0.0	0.0	1.0	1.0	3.6	3.6
0.0	0.0	1.0	1.0	3.6	3.6
0.0	0.0	0.999999956236	0.999999973621	3.6	3.6
0.0	0.0	0.666309311894	0.723838598243	3.6	3.6
0.0	0.0	0.0	0.141091656139	3.6	3.6
204.384093338	168.850474403	0.505058013413	0.582132738455	3.6	3.6
308.236140653	256.120382099	1.0	1.0	3.6	3.6
346.487112212	288.278667643	1.0	1.0	3.6	3.6
308.236140653	256.120382099	1.0	1.0	3.6	3.6
204.384093338	168.850474403	1.0	1.0	3.6	3.6
0.0	0.0	0.999999957211	1.0	3.6	3.6
0.0	0.0	1.0	0.451843161154	3.6	3.6
0.0	0.0	0.352055049609	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	2.04334194201
0.0	0.0	0.0	0.0	3.6	0.681208360807
0.0	0.0	0.0	0.0	3.6	0.228178609349
0.0	0.0	0.545233738931	0.492949081933	3.6	0.0762090648449
0.0	0.0	0.229714399101	0.74109389769	3.6	0.0255988822141
0.0	0.0	0.0	0.0	3.6	0.00882248603667
0.0	0.0	0.0	0.0	1.84443722049	0.00209485629937
0.0	0.0	0.0	0.0	0.615068584946	0.00109663828796
0.0	0.0	0.0	0.0	0.206024202111	0.000149966289144
0.0	0.0	0.0	0.0	0.0672025281194	0.0
0.0	0.0	0.0	0.0	0.0241681792999	0.0
0.0	0.0	0.0	0.0	0.00837866911127	8.08424275661e-05
0.0	0.0	0.0	0.0	0.00199622378153	0.000196246785921
0.0	0.0	0.0	0.0	0.00104744792981	5.77021791775e-05
0.0	0.0	0.0	0.0	0.00014168396227	0.0
0.0	0.0	0.328448556791	0.287660229626	0.0	0.0
214.435824652	239.68731191	1.0	1.0	3.6	3.6
322.443563204	362.457440444	1.0	1.0	3.6	3.6
362.215611491	407.686226749	1.0	1.0	3.6	3.6
322.443563204	362.457440444	1.0	1.0	3.6	3.6
214.435824652	239.68731191	0.838862133425	0.936343325484	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0149070439197	0.0726407001114	3.6	3.6
0.0	0.0	0.47127468646	0.274724333012	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	2.10880478927	3.6
0.0	0.0	0.0	0.0	0.704006015847	2.23231959957
0.0	0.0	0.0	0.0	0.234783522778	0.743132772271
0.0	0.0	0.0	0.0	0.0784135252069	0.247831387091
0.0	0.0	0.0	0.0	0.0263393590366	0.0827712789356
0.0	0.0	0.0	0.0	0.00907768628867	0.0278031427299
0.0	0.0	0.0	0.0	0.00112835974917	0.00958216967947
0.0	0.0	0.0	0.0	0.00179621027257	0.00119106722044
0.0	0.0	0.0	0.0	0.0	0.000894568939557
0.0	0.0	0.492866389472	0.536381020712	0.000660920455805	0.000894568939557
319.27954489	339.502014222	1.0	1.0	3.6	3.6
478.590991803	511.727752483	1.0	1.0	3.6	3.6
537.239604772	575.159401491	1.0	1.0	3.6	3.6
478.590991803	511.727752483	1.0	1.0	3.6	3.6
319.27954489	339.502014222	1.0	1.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.386268146445	0.540876062805	3.6	3.6
0.0	0.0	1.0	0.230733846667	3.6	3.6
0.0	0.0	0.516919656009	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	2.33419529845	2.34118890421
0.0	0.0	0.0	0.0	0.777207517289	0.779546694695
0.0	0.0	0.0	0.0	0.25919521792	0.259975326951
0.0	0.0	0.0	0.0	0.085555597108	0.0858130968257
0.0	0.0	0.0	0.0	0.0297493691362	0.0298389068685
0.0	0.0	0.0	0.0	0.0102762660938	0.0103071949366
0.0	0.0	0.0	0.0	0.00128017525362	0.00128402824252
0.0	0.0	0.0	0.0862895017572	0.000959468095234	0.000962355840419
0.0	0.0	0.552893061378	0.216218323596	0.000959468095234	0.000962355840419
199.621099598	187.032002494	0.863231802429	0.730861094277	2.29369322833	2.05181973064
298.235640139	280.94252881	1.0	1.0	3.6	3.6
334.529369879	315.520540956	1.0	1.0	3.6	3.6
298.235640139	280.94252881	1.0	1.0	3.6	3.6
199.621099598	187.032002494	0.777914493296	0.729576037295	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	2.41440915639
0.0	0.0	0.0	0.0	3.6	0.804036945569
0.0	0.0	0.536695658227	0.0	1.71863406263	0.268142756163
0.0	0.0	0.0	0.0	0.573236532896	0.0885090157707
0.0	0.0	0.0	0.0	0.192011993805	0.0307763310763
0.0	0.0	0.0	0.0	0.0626319202038	0.00962577455215
0.0	0.0	0.0	0.0	0.020578846046	0.00219581119531
0.0	0.0	0.0	0.0	0.00899276834655	0.000812243352233
0.0	0.0	0.0	0.0	0.00138024133196	0.000812243352233
0.0	0.0	0.0	0.0	0.000848806289608	0.000961175845495
0.0	0.0	0.0	0.0	0.000848806289608	7.44662466312e-05
0.0	0.0	0.0	0.0	0.000588800319543	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	9.22221382002e-05
0.0	0.0	0.511427389616	0.0	0.0	0.000175566330616
239.62527316	219.042792927	0.934400445998	0.855243777418	3.6	3.6
356.757897983	327.839808053	1.0	1.0	3.6	3.6
399.854280618	367.887069776	1.0	1.0	3.6	3.6
356.757897983	327.839808053	1.0	1.0	3.6	3.6
239.62527316	219.042792927	0.932799423305	0.853905980527	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.397367091535	0.0	3.6	3.6
0.0	0.0	1.0	0.0	3.6	3.6
0.0	0.0	0.308188015807	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.32508328604	1.74973848688
0.0	0.0	0.0	0.0	1.11103368475	0.583579372586
0.0	0.0	0.0	0.0	0.369441577074	0.195476467028
0.0	0.0	0.0	0.0	0.123027327999	0.063761988241
0.0	0.0	0.0	0.0	0.0427758016913	0.0209501502637
0.0	0.0	0.0	0.0	0.0120720129314	0.00915502490889
0.0	0.0	0.0	0.0	0.00394463377249	0.00140514503292
0.0	0.0	0.0	0.0	0.00113457810269	0.000864121305556
0.0	0.0	0.0	0.0	0.00172165538661	0.000864121305556
0.0	0.0	0.396501962194	0.0	0.0	0.000599424046529
289.634604631	216.131863291	1.0	0.845799196723	3.6	3.6
429.648356301	322.266260839	1.0	1.0	3.6	3.6
481.147329682	361.321079586	1.0	1.0	3.6	3.6
429.648356301	322.266260839	1.0	1.0	3.6	3.6
289.634604631	216.131863291	1.0	0.845272599822	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
